hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
"Marriott Vacation Club Pulse at Custom House, Boston",http://www.tripadvisor.com/Hotel_Review-g60745-d94344-Reviews-Marriott_Vacation_Club_Pulse_at_Custom_House_Boston-Boston_Massachusetts.html,boston,808,4.5,2017/07/01,2017/07/02,$419,Marriott,13,"Free Wifi,Fitness center"
Boston Harbor Hotel,http://www.tripadvisor.com/Hotel_Review-g60745-d89575-Reviews-Boston_Harbor_Hotel-Boston_Massachusetts.html,boston,1851,4.5,2017/07/01,2017/07/02,$558,Expedia.com,13,"Free Wifi,Pool"
Seaport Boston Hotel,http://www.tripadvisor.com/Hotel_Review-g60745-d94330-Reviews-Seaport_Boston_Hotel-Boston_Massachusetts.html,boston,4637,4.5,2017/07/01,2017/07/02,$332,Expedia.com,11,"Free Wifi,Pool"
InterContinental Boston,http://www.tripadvisor.com/Hotel_Review-g60745-d620703-Reviews-InterContinental_Boston-Boston_Massachusetts.html,boston,3991,4.5,2017/07/01,2017/07/02,$342,InterContinental,13,"Pool,Restaurant"
Four Seasons Hotel Boston,http://www.tripadvisor.com/Hotel_Review-g60745-d89585-Reviews-Four_Seasons_Hotel_Boston-Boston_Massachusetts.html,boston,1687,4.5,2017/07/01,2017/07/02,$655,Hotels.com,13,"Free Wifi,Pool"
Lenox Hotel,http://www.tripadvisor.com/Hotel_Review-g60745-d114134-Reviews-Lenox_Hotel-Boston_Massachusetts.html,boston,3285,4.5,2017/07/01,2017/07/02,$295,Expedia.com,12,"Free Wifi,Restaurant"
Courtyard Boston Copley Square,http://www.tripadvisor.com/Hotel_Review-g60745-d313573-Reviews-Courtyard_Boston_Copley_Square-Boston_Massachusetts.html,boston,1724,4.5,2017/07/01,2017/07/02,$299,Booking.com,13,"Free Wifi,Restaurant"
Hotel Commonwealth,http://www.tripadvisor.com/Hotel_Review-g60745-d258705-Reviews-Hotel_Commonwealth-Boston_Massachusetts.html,boston,4362,4.5,2017/07/01,2017/07/02,$359,TripAdvisor,10,"Free Wifi,Restaurant"
Eliot Hotel,http://www.tripadvisor.com/Hotel_Review-g60745-d111423-Reviews-Eliot_Hotel-Boston_Massachusetts.html,boston,1262,4.5,2017/07/01,2017/07/02,$345,Expedia.com,12,"Free Wifi,Restaurant"
"Mandarin Oriental, Boston",http://www.tripadvisor.com/Hotel_Review-g60745-d1136705-Reviews-Mandarin_Oriental_Boston-Boston_Massachusetts.html,boston,681,4.5,2017/07/01,2017/07/02,$645,Booking.com,14,"Restaurant,Room Service"
